trial,solver,ack_time_ms,ack_anomaly,gas_fulfill
1,0x15d34AAf54267DB7D7c367839AAf71A00a2C6A65,196,0,104776
2,0x3C44CdDdB6a900fa2b585dd299e03d12FA4293BC,352,0,87676
3,0x976EA74026E726554dB657fA54763abd0C3a0aa9,185,0,87676
4,0x976EA74026E726554dB657fA54763abd0C3a0aa9,5456,1,70576
5,0x9965507D1a55bcC2695C58ba16FB37d819B0A4dc,355,0,87664
6,0x90F79bf6EB2c4f870365E785982E1f101E93b906,595,0,87640
7,0x90F79bf6EB2c4f870365E785982E1f101E93b906,220,0,70576
8,0x976EA74026E726554dB657fA54763abd0C3a0aa9,554,0,70576
9,0x15d34AAf54267DB7D7c367839AAf71A00a2C6A65,515,0,70576
10,0x3C44CdDdB6a900fa2b585dd299e03d12FA4293BC,382,0,70576
11,0x15d34AAf54267DB7D7c367839AAf71A00a2C6A65,540,0,70576
12,0x976EA74026E726554dB657fA54763abd0C3a0aa9,164,0,70564
13,0x976EA74026E726554dB657fA54763abd0C3a0aa9,184,0,70576
14,0x9965507D1a55bcC2695C58ba16FB37d819B0A4dc,286,0,70564
15,0x976EA74026E726554dB657fA54763abd0C3a0aa9,463,0,70576
16,0x90F79bf6EB2c4f870365E785982E1f101E93b906,461,0,70576
17,0x9965507D1a55bcC2695C58ba16FB37d819B0A4dc,309,0,70576
18,0x90F79bf6EB2c4f870365E785982E1f101E93b906,638,0,70576
19,0x976EA74026E726554dB657fA54763abd0C3a0aa9,5138,1,70564
20,0x15d34AAf54267DB7D7c367839AAf71A00a2C6A65,546,0,70576
21,0x976EA74026E726554dB657fA54763abd0C3a0aa9,444,0,70576
22,0x9965507D1a55bcC2695C58ba16FB37d819B0A4dc,573,0,70576
23,0x3C44CdDdB6a900fa2b585dd299e03d12FA4293BC,195,0,70564
24,0x9965507D1a55bcC2695C58ba16FB37d819B0A4dc,5563,1,70576
25,0x976EA74026E726554dB657fA54763abd0C3a0aa9,423,0,70576
26,0x976EA74026E726554dB657fA54763abd0C3a0aa9,177,0,70576
27,0x90F79bf6EB2c4f870365E785982E1f101E93b906,329,0,70576
28,0x90F79bf6EB2c4f870365E785982E1f101E93b906,5412,1,70576
29,0x9965507D1a55bcC2695C58ba16FB37d819B0A4dc,479,0,70576
30,0x9965507D1a55bcC2695C58ba16FB37d819B0A4dc,602,0,70564
31,0x3C44CdDdB6a900fa2b585dd299e03d12FA4293BC,562,0,70576
32,0x90F79bf6EB2c4f870365E785982E1f101E93b906,254,0,70576
33,0x3C44CdDdB6a900fa2b585dd299e03d12FA4293BC,615,0,70576
34,0x3C44CdDdB6a900fa2b585dd299e03d12FA4293BC,512,0,70564
35,0x15d34AAf54267DB7D7c367839AAf71A00a2C6A65,247,0,70576
36,0x9965507D1a55bcC2695C58ba16FB37d819B0A4dc,124,0,70576
37,0x976EA74026E726554dB657fA54763abd0C3a0aa9,130,0,70576
38,0x9965507D1a55bcC2695C58ba16FB37d819B0A4dc,357,0,70576
39,0x3C44CdDdB6a900fa2b585dd299e03d12FA4293BC,452,0,70576
40,0x976EA74026E726554dB657fA54763abd0C3a0aa9,5472,1,70576
41,0x3C44CdDdB6a900fa2b585dd299e03d12FA4293BC,253,0,70576
42,0x3C44CdDdB6a900fa2b585dd299e03d12FA4293BC,576,0,70576
43,0x3C44CdDdB6a900fa2b585dd299e03d12FA4293BC,540,0,70576
44,0x9965507D1a55bcC2695C58ba16FB37d819B0A4dc,639,0,70576
45,0x90F79bf6EB2c4f870365E785982E1f101E93b906,532,0,70564
46,0x9965507D1a55bcC2695C58ba16FB37d819B0A4dc,238,0,70576
47,0x9965507D1a55bcC2695C58ba16FB37d819B0A4dc,438,0,70576
48,0x9965507D1a55bcC2695C58ba16FB37d819B0A4dc,423,0,70576
49,0x9965507D1a55bcC2695C58ba16FB37d819B0A4dc,545,0,70564
50,0x3C44CdDdB6a900fa2b585dd299e03d12FA4293BC,303,0,70576
51,0x15d34AAf54267DB7D7c367839AAf71A00a2C6A65,138,0,70576
52,0x976EA74026E726554dB657fA54763abd0C3a0aa9,585,0,70576
53,0x9965507D1a55bcC2695C58ba16FB37d819B0A4dc,197,0,70564
54,0x976EA74026E726554dB657fA54763abd0C3a0aa9,211,0,70576
55,0x15d34AAf54267DB7D7c367839AAf71A00a2C6A65,620,0,70576
56,0x976EA74026E726554dB657fA54763abd0C3a0aa9,268,0,70576
57,0x15d34AAf54267DB7D7c367839AAf71A00a2C6A65,342,0,70552
58,0x3C44CdDdB6a900fa2b585dd299e03d12FA4293BC,487,0,70564
59,0x15d34AAf54267DB7D7c367839AAf71A00a2C6A65,300,0,70552
60,0x3C44CdDdB6a900fa2b585dd299e03d12FA4293BC,510,0,70576
61,0x90F79bf6EB2c4f870365E785982E1f101E93b906,374,0,70576
62,0x9965507D1a55bcC2695C58ba16FB37d819B0A4dc,619,0,70564
63,0x15d34AAf54267DB7D7c367839AAf71A00a2C6A65,596,0,70564
64,0x90F79bf6EB2c4f870365E785982E1f101E93b906,5273,1,70564
65,0x15d34AAf54267DB7D7c367839AAf71A00a2C6A65,543,0,70564
66,0x976EA74026E726554dB657fA54763abd0C3a0aa9,224,0,70576
67,0x90F79bf6EB2c4f870365E785982E1f101E93b906,425,0,70576
68,0x9965507D1a55bcC2695C58ba16FB37d819B0A4dc,5592,1,70576
69,0x15d34AAf54267DB7D7c367839AAf71A00a2C6A65,580,0,70576
70,0x3C44CdDdB6a900fa2b585dd299e03d12FA4293BC,414,0,70564
71,0x90F79bf6EB2c4f870365E785982E1f101E93b906,130,0,70576
72,0x15d34AAf54267DB7D7c367839AAf71A00a2C6A65,294,0,70564
73,0x15d34AAf54267DB7D7c367839AAf71A00a2C6A65,165,0,70576
74,0x3C44CdDdB6a900fa2b585dd299e03d12FA4293BC,5415,1,70576
75,0x9965507D1a55bcC2695C58ba16FB37d819B0A4dc,641,0,70576
76,0x9965507D1a55bcC2695C58ba16FB37d819B0A4dc,640,0,70564
77,0x9965507D1a55bcC2695C58ba16FB37d819B0A4dc,433,0,70576
78,0x90F79bf6EB2c4f870365E785982E1f101E93b906,384,0,70576
79,0x90F79bf6EB2c4f870365E785982E1f101E93b906,465,0,70576
80,0x3C44CdDdB6a900fa2b585dd299e03d12FA4293BC,576,0,70564
81,0x976EA74026E726554dB657fA54763abd0C3a0aa9,201,0,70576
82,0x976EA74026E726554dB657fA54763abd0C3a0aa9,339,0,70576
83,0x976EA74026E726554dB657fA54763abd0C3a0aa9,230,0,70576
